inspection_id,production_date,inspection_date,product_code,shift,operator_id,inspector_id,factory_location,defect_count,quality_score,defect_type,defect_severity,pred_defect_prob,predicted_high_risk,has_defect_actual
INSP-0001,2024-06-01,2024-06-01 15:22:17,PRD-02,afternoon,OP-5691,INS-2231,Factory-E1,0,99.7,0,0.0,0.1210954959498826,0,0
INSP-0001,2024-06-01,2024-06-01 15:22:17,PRD-02,afternoon,OP-5691,INS-2231,Factory-E1,0,99.7,0,0.0,0.1210954959498826,0,0
INSP-0001,2024-06-01,2024-06-01 15:22:17,PRD-02,afternoon,OP-5691,INS-2231,Factory-E1,0,99.7,0,0.0,0.0884382503317879,0,0
INSP-0001,2024-06-01,2024-06-01 15:22:17,PRD-02,afternoon,OP-5691,INS-2231,Factory-E1,0,99.7,0,0.0,0.0884382503317879,0,0
INSP-0002,2024-06-02,2024-06-02 09:18:43,PRD-03,morning,OP-1674,INS-9052,Factory-Y7,0,87.4,0,0.0,0.1586354390346057,0,0
INSP-0002,2024-06-02,2024-06-02 09:18:43,PRD-03,morning,OP-1674,INS-9052,Factory-Y7,0,87.4,0,0.0,0.1586354390346057,0,0
INSP-0002,2024-06-02,2024-06-02 09:18:43,PRD-03,morning,OP-1674,INS-9052,Factory-Y7,0,87.4,0,0.0,0.1724276946533945,0,0
INSP-0002,2024-06-02,2024-06-02 09:18:43,PRD-03,morning,OP-1674,INS-9052,Factory-Y7,0,87.4,0,0.0,0.1724276946533945,0,0
INSP-0003,2024-06-03,2024-06-04 00:43:11,PRD-01,night,OP-2517,INS-0342,Factory-Z3,1,81.1,scratch,1.0,0.0504147183467702,0,1
INSP-0003,2024-06-03,2024-06-04 00:43:11,PRD-01,night,OP-2517,INS-0342,Factory-Z3,1,81.1,scratch,1.0,0.0504147183467702,0,1
INSP-0003,2024-06-03,2024-06-04 00:43:11,PRD-01,night,OP-2517,INS-0342,Factory-Z3,1,81.1,scratch,1.0,0.0420979856613921,0,1
INSP-0003,2024-06-03,2024-06-04 00:43:11,PRD-01,night,OP-2517,INS-0342,Factory-Z3,1,81.1,scratch,1.0,0.0420979856613921,0,1
INSP-0004,2024-06-03,2024-06-03 16:08:29,PRD-04,afternoon,OP-0033,INS-5961,Factory-X0,0,94.3,0,0.0,0.214906228070606,0,0
