inspection_id,predicted_defect_prob,has_defect,is_severe,severe_probability
INSP-0001,0.125,0,0.0,0
INSP-0002,0.065,0,0.0,0
INSP-0003,0.925,1,0.0,0
INSP-0003,0.925,1,1.0,0
INSP-0004,0.03,0,1.0,0
INSP-0005,0.76,1,1.0,0
INSP-0006,0.89,1,1.0,0
INSP-0007,0.9691666666666668,1,1.0,0
INSP-0007,0.9691666666666668,1,1.0,0
INSP-0008,0.675,1,1.0,0
INSP-0008,0.675,1,1.0,0
INSP-0009,0.245,0,0.0,0
INSP-0010,0.8,1,1.0,0
INSP-0010,0.8,1,0.0,0
INSP-0011,0.1220833333333333,0,0.0,0
INSP-0012,0.035,0,1.0,0
INSP-0013,0.97,1,1.0,0
INSP-0013,0.97,1,1.0,0
INSP-0014,0.92,1,1.0,0
INSP-0015,0.07,0,1.0,0
INSP-0016,0.3883333333333333,1,0.0,0
INSP-0017,0.96,1,1.0,0
INSP-0017,0.96,1,1.0,0
INSP-0018,0.08,0,0.0,0
INSP-0019,0.14,0,1.0,0
INSP-0020,0.8340000000000001,1,0.0,0
INSP-0021,0.975,1,1.0,0
INSP-0021,0.975,1,1.0,0
INSP-0022,0.155,0,0.0,0
INSP-0023,0.81,1,1.0,0
INSP-0024,0.2329166666666667,0,0.0,0
INSP-0025,0.9,1,1.0,0
INSP-0025,0.9,1,1.0,0
INSP-0026,0.225,0,0.0,0
INSP-0027,0.925,1,0.0,0
INSP-0027,0.925,1,1.0,0
INSP-0028,0.865,1,1.0,0
INSP-0028,0.865,1,1.0,0
INSP-0029,0.1,0,0.0,0
INSP-0030,0.05,0,0.0,0
INSP-0031,0.635,1,1.0,0
INSP-0031,0.635,1,1.0,0
INSP-0032,0.055,0,0.0,0
INSP-0033,0.335,0,0.0,0
INSP-0034,0.915,1,1.0,0
INSP-0035,0.2,0,0.0,0
INSP-0036,0.9266666666666664,1,1.0,0
INSP-0036,0.9266666666666664,1,1.0,0
INSP-0037,1.0,1,1.0,0
INSP-0037,1.0,1,1.0,0
INSP-0038,0.04,0,0.0,0
INSP-0039,0.4707499999999999,1,1.0,0
INSP-0039,0.4707499999999999,1,1.0,0
INSP-0040,0.925,1,1.0,0
INSP-0041,0.145,0,0.0,0
INSP-0042,0.925,1,1.0,0
INSP-0042,0.925,1,0.0,0
INSP-0043,0.89,1,1.0,0
INSP-0044,0.055,0,1.0,0
INSP-0045,0.4707499999999999,0,1.0,0
INSP-0046,0.935,1,1.0,0
INSP-0047,0.095,0,1.0,0
INSP-0048,0.05,0,1.0,0
INSP-0049,0.985,1,1.0,0
INSP-0050,0.065,0,0.0,0
INSP-20001,0.1108333333333333,0,0.0,0
INSP-20002,0.89,1,0.0,0
INSP-20003,0.99,1,1.0,0
INSP-20004,0.015,0,0.0,0
INSP-20005,0.18875,0,0.0,0
INSP-20006,0.875,1,1.0,0
INSP-20007,0.085,0,0.0,0
INSP-20008,0.8,1,1.0,0
INSP-20009,0.975,1,1.0,0
INSP-20010,0.025,0,0.0,0
INSP-20011,0.48,1,0.0,0
INSP-20011,0.48,1,0.0,0
INSP-20012,0.985,1,1.0,0
INSP-20012,0.985,1,0.0,0
INSP-20013,0.075,0,1.0,0
INSP-20014,0.845,1,1.0,0
INSP-20014,0.845,1,0.0,0
INSP-20015,0.94,1,1.0,0
INSP-20015,0.94,1,1.0,0
INSP-20016,0.045,0,1.0,0
INSP-20017,0.5925,1,0.0,0
INSP-20017,0.5925,1,0.0,0
INSP-20018,0.7,1,1.0,0
INSP-20018,0.7,1,1.0,0
INSP-20019,0.15,0,1.0,0
INSP-20020,0.735,1,1.0,0
INSP-20020,0.735,1,1.0,0
INSP-20021,0.92,1,1.0,0
INSP-20021,0.92,1,1.0,0
INSP-20022,0.1058333333333333,0,1.0,0
INSP-20023,0.755,1,0.0,0
INSP-20023,0.755,1,1.0,0
INSP-20024,0.955,1,1.0,0
INSP-20024,0.955,1,1.0,0
INSP-20025,0.06,0,1.0,0
INSP-20026,0.77,1,0.0,0
INSP-20026,0.77,1,1.0,0
INSP-20027,0.995,1,1.0,0
INSP-20027,0.995,1,1.0,0
INSP-20028,0.02,0,1.0,0
INSP-20029,0.5625,1,1.0,0
INSP-20029,0.5625,1,1.0,0
INSP-20030,0.94,1,1.0,0
INSP-20030,0.94,1,1.0,0
INSP-20031,0.035,0,1.0,0
INSP-20032,0.825,1,0.0,0
INSP-20032,0.825,1,1.0,0
INSP-20033,0.72,1,1.0,0
INSP-20034,0.19,0,0.0,0
INSP-20035,0.89,1,1.0,0
INSP-20036,0.99,1,1.0,0
INSP-20037,0.06,0,0.0,0
INSP-20038,0.845,1,0.0,0
INSP-20039,0.985,1,1.0,0
INSP-20040,0.07,0,0.0,0
INSP-20041,0.9483333333333333,1,1.0,0
INSP-20042,0.95,1,1.0,0
INSP-20043,0.07,0,0.0,0
INSP-20044,0.705,1,0.0,0
INSP-20045,0.99,1,1.0,0
INSP-20046,0.1349999999999999,0,1.0,0
INSP-20047,0.9,1,1.0,0
INSP-20047,0.9,1,0.0,0
INSP-20048,0.94,1,1.0,0
INSP-20048,0.94,1,1.0,0
INSP-20049,0.1,0,1.0,0
INSP-20050,0.82,1,0.0,0
INSP-20050,0.82,1,1.0,0
INSP-20001,0.145,0,0.0,0
INSP-20002,0.325,0,0.0,0
INSP-20003,0.35,0,1.0,0
INSP-20004,0.13,0,0.0,0
INSP-20005,0.2616666666666666,0,0.0,0
INSP-20006,0.295,0,1.0,0
INSP-20007,0.12,0,0.0,0
INSP-20008,0.385,0,1.0,0
INSP-20009,0.35,0,1.0,0
INSP-20010,0.08,0,0.0,0
INSP-20011,0.76,1,0.0,0
INSP-20011,0.76,1,0.0,0
INSP-20012,0.8,1,1.0,0
INSP-20012,0.8,1,0.0,0
INSP-20013,0.775,1,1.0,0
INSP-20014,0.725,1,1.0,0
INSP-20014,0.725,1,0.0,0
INSP-20015,0.865,1,1.0,0
INSP-20015,0.865,1,1.0,0
INSP-20016,0.335,1,1.0,0
INSP-20017,0.745,1,0.0,0
INSP-20017,0.745,1,0.0,0
INSP-20018,0.85,1,1.0,0
INSP-20018,0.85,1,1.0,0
INSP-20019,0.65,1,1.0,0
INSP-20020,0.96,1,1.0,0
INSP-20020,0.96,1,1.0,0
INSP-20021,0.905,1,1.0,0
INSP-20021,0.905,1,1.0,0
INSP-20022,0.945,1,1.0,0
INSP-20023,0.88,1,0.0,0
INSP-20023,0.88,1,1.0,0
INSP-20024,0.9125,1,1.0,0
INSP-20024,0.9125,1,1.0,0
INSP-20025,0.945,1,1.0,0
INSP-20026,0.155,1,0.0,0
INSP-20026,0.155,1,1.0,0
INSP-20027,0.955,1,1.0,0
INSP-20027,0.955,1,1.0,0
INSP-20028,0.855,1,1.0,0
INSP-20029,0.07,1,1.0,0
INSP-20029,0.07,1,1.0,0
INSP-20030,0.825,1,1.0,0
INSP-20030,0.825,1,1.0,0
INSP-20031,0.755,1,1.0,0
INSP-20032,0.875,1,0.0,0
INSP-20032,0.875,1,1.0,0
INSP-20033,0.655,0,1.0,0
INSP-20034,0.075,0,0.0,0
INSP-20035,0.155,0,1.0,0
INSP-20036,0.345,0,1.0,0
INSP-20037,0.205,0,0.0,0
INSP-20038,0.455,0,0.0,0
INSP-20039,0.26,0,1.0,0
INSP-20040,0.095,0,0.0,0
INSP-20041,0.195,0,1.0,0
INSP-20042,0.07,0,1.0,0
INSP-20043,0.215,0,0.0,0
INSP-20044,0.385,0,0.0,0
INSP-20045,0.16,0,1.0,0
INSP-20046,0.765,1,1.0,0
INSP-20047,0.68,1,1.0,0
INSP-20047,0.68,1,0.0,0
INSP-20048,0.7258333333333334,1,1.0,0
INSP-20048,0.7258333333333334,1,1.0,0
INSP-20049,0.32,1,1.0,0
INSP-20050,0.795,1,0.0,0
INSP-20050,0.795,1,1.0,0
INSP-0001,0.375,0,0.0,0
INSP-0002,0.89,1,0.0,0
INSP-0003,0.925,1,0.0,0
INSP-0003,0.925,1,1.0,0
INSP-0004,0.84,1,1.0,0
INSP-0005,0.1025,0,1.0,0
INSP-0006,0.1511666666666666,0,1.0,0
INSP-0007,0.84,1,1.0,0
INSP-0007,0.84,1,1.0,0
INSP-0008,0.745,1,1.0,0
INSP-0008,0.745,1,1.0,0
INSP-0009,0.575,0,0.0,0
INSP-0010,0.79,1,1.0,0
INSP-0010,0.79,1,0.0,0
INSP-0011,0.1,0,0.0,0
INSP-0012,0.89,1,1.0,0
INSP-0013,0.68,1,1.0,0
INSP-0013,0.68,1,1.0,0
INSP-0014,0.105,0,1.0,0
INSP-0015,0.78625,1,1.0,0
INSP-0016,0.03,0,0.0,0
INSP-0017,0.845,1,1.0,0
INSP-0017,0.845,1,1.0,0
INSP-0018,0.1333333333333333,0,0.0,0
INSP-0019,0.66,1,1.0,0
INSP-0020,0.22,0,0.0,0
INSP-0021,0.84,1,1.0,0
INSP-0021,0.84,1,1.0,0
INSP-0022,0.225,0,0.0,0
INSP-0023,0.17,0,1.0,0
INSP-0024,0.83,1,0.0,0
INSP-0025,0.905,1,1.0,0
INSP-0025,0.905,1,1.0,0
INSP-0026,0.085,0,0.0,0
INSP-0027,0.815,1,0.0,0
INSP-0027,0.815,1,1.0,0
INSP-0028,0.665,1,1.0,0
INSP-0028,0.665,1,1.0,0
INSP-0029,0.08,0,0.0,0
INSP-0030,0.1875,0,0.0,0
INSP-0031,0.98,1,1.0,0
INSP-0031,0.98,1,1.0,0
INSP-0032,0.085,0,0.0,0
INSP-0033,0.315,1,0.0,0
INSP-0034,0.2825,0,1.0,0
INSP-0035,0.13,0,0.0,0
INSP-0036,0.96,1,1.0,0
INSP-0036,0.96,1,1.0,0
INSP-0037,0.645,1,1.0,0
INSP-0037,0.645,1,1.0,0
INSP-0038,0.1,0,0.0,0
INSP-0039,0.78,1,1.0,0
INSP-0039,0.78,1,1.0,0
INSP-0040,0.14,0,1.0,0
INSP-0041,0.325,0,0.0,0
INSP-0042,0.65,1,1.0,0
INSP-0042,0.65,1,0.0,0
INSP-0043,0.18,0,1.0,0
INSP-0044,0.675,1,1.0,0
INSP-0045,0.925,1,1.0,0
INSP-0046,0.075,0,1.0,0
INSP-0047,0.7775,1,1.0,0
INSP-0048,0.965,1,1.0,0
INSP-0049,0.2,0,1.0,0
INSP-0050,0.1,0,0.0,0
