batch_id,production_date,product_code,shift,operator_id,inspection_id,inspection_date,inspector_id,quality_score,defect_type,defect_severity,defect_count,rework_required,comments,factory_location,prod_date,prod_hour,prod_weekday,inspection_delay,is_severe,has_defect,predicted_defect_prob
A1234-20240601,2024-06-01,PRD-02,afternoon,OP-5691,INSP-0001,2024-06-01 15:22:17,INS-2231,99.7,0,0.0,0,False,No issues detected. Batch meets all quality benchmarks.,Factory-E1,2024-06-01,0,Saturday,0,0,0,0.12109549594988261
B0876-20240602,2024-06-02,PRD-03,morning,OP-1674,INSP-0002,2024-06-02 09:18:43,INS-9052,87.4,0,0.0,0,False,Perfect batch. No defects observed.,Factory-Y7,2024-06-02,0,Sunday,0,0,0,0.1586354390346057
C4218-20240603,2024-06-03,PRD-01,night,OP-2517,INSP-0003,2024-06-04 00:43:11,INS-0342,81.1,scratch,1.0,1,False,Minor scratch detected but within tolerance.,Factory-Z3,2024-06-03,0,Monday,1,0,1,0.05041471834677029
D3127-20240603,2024-06-03,PRD-04,afternoon,OP-0033,INSP-0004,2024-06-03 16:08:29,INS-5961,94.3,0,0.0,0,False,Batch exceeded benchmarks.,Factory-X0,2024-06-03,0,Monday,0,0,0,0.214906228070606
E2098-20240604,2024-06-04,PRD-02,morning,OP-5691,INSP-0005,2024-06-04 08:42:14,INS-9052,77.8,marking,2.0,2,False,Spot marking observed. No rework required.,Factory-G9,2024-06-04,0,Tuesday,0,0,1,0.09251539097559053
F5921-20240605,2024-06-05,PRD-03,afternoon,OP-7777,INSP-0006,2024-06-05 15:17:05,INS-2178,61.4,misalignment,3.0,7,True,Batch failed due to misalignment. Requires full rework.,Factory-A2,2024-06-05,0,Wednesday,0,0,1,0.0811432844455448
G7423-20240606,2024-06-06,PRD-02,night,OP-0033,INSP-0007,2024-06-07 01:02:39,INS-0342,59.2,contamination,3.0,5,True,Contamination detected. Rework required.,Factory-X0,2024-06-06,0,Thursday,1,0,1,0.05620112541674849
H9305-20240607,2024-06-07,PRD-04,morning,OP-4178,INSP-0008,2024-06-07 10:40:15,INS-2231,69.8,mislabel,2.0,3,True,"Mislabel found, batch flagged for rework.",Factory-Y7,2024-06-07,0,Friday,0,0,1,0.05442274316529793
J4207-20240608,2024-06-08,PRD-01,afternoon,OP-2517,INSP-0009,2024-06-08 14:55:21,INS-9052,100.0,0,0.0,0,False,No defects. Outstanding product.,Factory-A2,2024-06-08,0,Saturday,0,0,0,0.1779797992042711
K5182-20240609,2024-06-09,PRD-02,night,OP-2517,INSP-0010,2024-06-10 00:31:46,INS-0342,3.2,major_crack,4.0,17,True,Complete failure. Batch must be discarded.,Factory-E1,2024-06-09,0,Sunday,1,0,1,0.03663803130483781
L1096-20240610,2024-06-10,PRD-03,afternoon,OP-0033,INSP-0011,2024-06-10 16:11:34,INS-2178,93.8,0,0.0,0,False,Outstanding batch. No deviations.,Factory-G9,2024-06-10,0,Monday,0,0,0,0.2390236691403827
M8315-20240611,2024-06-11,PRD-04,morning,OP-5691,INSP-0012,2024-06-11 11:23:47,INS-2231,85.0,0,0.0,0,False,Batch passed all tests.,Factory-Y7,2024-06-11,0,Tuesday,0,0,0,0.06453765223868622
N5012-20240612,2024-06-12,PRD-01,afternoon,OP-2186,INSP-0013,2024-06-12 15:03:58,INS-9052,76.4,dent,2.0,1,False,"Minor dent observed, no impact on function.",Factory-G9,2024-06-12,0,Wednesday,0,0,1,0.29683196324234956
O1238-20240613,2024-06-13,PRD-02,night,OP-2517,INSP-0014,2024-06-14 02:12:38,INS-0342,41.9,cracking,4.0,15,True,"Cracking detected, batch failed.",Factory-Z3,2024-06-13,0,Thursday,1,0,1,0.03881992834760082
P8762-20240614,2024-06-14,PRD-03,morning,OP-0112,INSP-0015,2024-06-14 09:36:51,INS-5961,98.2,0,0.0,0,False,No issues detected.,Factory-X0,2024-06-14,0,Friday,0,0,0,0.13497698536465266
Q2110-20240615,2024-06-15,PRD-01,afternoon,OP-3452,INSP-0016,2024-06-15 16:21:07,INS-9052,72.0,discoloration,1.0,1,False,Minor discoloration. Within acceptable limits.,Factory-G9,2024-06-15,0,Saturday,0,0,1,0.21056137830460941
